Date,Y,ft1,ft11
1962-07-19,0.858772,188448.0,0.308871757
1962-07-20,0.862207,126048.0,0.325205852
1962-07-23,0.87423,121056.0,0.323658614
1962-07-24,0.862207,123552.0,0.344337501
1962-07-25,0.858772,114816.0,0.333817284
1962-07-26,0.875948,156000.0,0.298376433
1962-07-27,0.87423,182208.0,0.291820202
1962-07-30,0.889688,132288.0,0.286690995
1962-07-31,0.912016,358176.0,0.293310144
1962-08-01,0.906863,178464.0,0.289695057
1962-08-02,0.913733,147264.0,0.252750566
1962-08-03,0.920604,192192.0,0.243886764
1962-08-06,0.903428,192192.0,0.245104361
1962-08-07,0.901711,199680.0,0.240182805
1962-08-08,0.901711,129792.0,0.257099105
1962-08-09,0.903428,148512.0,0.258457388
1962-08-10,0.912016,193440.0,0.259422624
1962-08-13,0.903428,152256.0,0.260876514
1962-08-14,0.927474,272064.0,0.250761284
1962-08-15,0.924039,188448.0,0.263412619
1962-08-16,0.927474,169728.0,0.253406131
1962-08-17,0.936061,182208.0,0.240180955
1962-08-20,0.934344,193440.0,0.229631703
1962-08-21,0.934344,146016.0,0.265625153
1962-08-22,0.954954,185952.0,0.272376916
1962-08-23,0.95152,180960.0,0.241412024
1962-08-24,0.934344,255840.0,0.242313834
1962-08-27,0.922322,157248.0,0.236721121
1962-08-28,0.929192,204672.0,0.212062092
1962-08-29,0.927474,129792.0,0.204002375
1962-08-30,0.930908,154752.0,0.213368253
1962-08-31,0.941214,102336.0,0.252071267
1962-09-04,0.915451,131040.0,0.25451017
1962-09-05,0.898275,212160.0,0.26349731
1962-09-06,0.898275,233376.0,0.257949413
1962-09-07,0.917169,213408.0,0.262236651
1962-09-10,0.929192,126048.0,0.277216286
1962-09-11,0.918886,165984.0,0.294540953
1962-09-12,0.929192,76128.0,0.298503013
1962-09-13,0.920604,218400.0,0.264094096
1962-09-14,0.929192,98592.0,0.291703926
1962-09-17,0.936061,102336.0,0.285958621
1962-09-18,0.941252,185952.0,0.285401781
1962-09-19,0.939522,170976.0,0.30904216
1962-09-20,0.92568,151008.0,0.308059503
1962-09-21,0.906647,227136.0,0.269168847
1962-09-24,0.896266,259584.0,0.279562762
1962-09-25,0.899727,223392.0,0.303168527
1962-09-26,0.878963,205920.0,0.296935298
1962-09-27,0.861661,193440.0,0.285029569
1962-09-28,0.884154,218400.0,0.263101086
1962-10-01,0.880693,148512.0,0.266586946
1962-10-02,0.897996,108576.0,0.275848318
1962-10-03,0.892805,137280.0,0.273941974
1962-10-04,0.913568,205920.0,0.264164621
1962-10-05,0.929141,158496.0,0.289520609
1962-10-08,0.934331,160992.0,0.294308297
1962-10-09,0.937792,149760.0,0.327265177
1962-10-10,0.92568,132288.0,0.323065136
1962-10-11,0.915299,168480.0,0.309844671
1962-10-12,0.911837,83616.0,0.313556204
1962-10-15,0.930871,141024.0,0.293676074
1962-10-16,0.930871,158496.0,0.294524908
1962-10-17,0.92568,192192.0,0.30554651
1962-10-18,0.922219,156000.0,0.314898785
1962-10-19,0.904917,345696.0,0.308023819
1962-10-22,0.896266,289536.0,0.309871422
1962-10-23,0.887615,290784.0,0.2972296
1962-10-24,0.92741,326976.0,0.318353421
1962-10-25,0.913568,260832.0,0.337640026
1962-10-26,0.92568,164736.0,0.354248721
1962-10-29,0.929141,223392.0,0.36002122
1962-10-30,0.946443,240864.0,0.353498434
1962-10-31,0.937792,197184.0,0.339947198
1962-11-01,0.944713,217152.0,0.354576485
1962-11-02,0.962015,354432.0,0.340643891
1962-11-05,0.963745,307008.0,0.360562076
1962-11-07,0.965477,321984.0,0.374831438
1962-11-08,0.963745,235872.0,0.356476404
1962-11-09,0.963745,0.0,0.350448959
1962-11-12,0.99662,278304.0,0.36577409
1962-11-13,0.99489,198432.0,0.365077219
1962-11-14,1.001811,345696.0,0.34216498
1962-11-15,1.001811,234624.0,0.322574963
1962-11-16,1.007001,263328.0,0.325110328
1962-11-19,0.998351,178464.0,0.359855044
1962-11-20,1.008731,190944.0,0.364168312
1962-11-21,1.020844,102336.0,0.326598475
1962-11-23,1.041606,404352.0,0.344360513
1962-11-26,1.031224,274560.0,0.347403753
1962-11-27,1.031224,149760.0,0.344051279
1962-11-28,1.034686,242112.0,0.372814301
1962-11-29,1.036416,180960.0,0.381274914
1962-11-30,1.034686,128544.0,0.378473139
1962-12-03,1.032956,177216.0,0.378786968
1962-12-04,1.039876,199680.0,0.369479583
1962-12-05,1.051988,314496.0,0.382881806
1962-12-06,1.046797,268320.0,0.355743405
1962-12-07,1.051988,233376.0,0.347958146
1962-12-10,1.046797,213408.0,0.338489033
1962-12-11,1.046797,287040.0,0.321005951
1962-12-12,1.065829,273312.0,0.298328521
1962-12-13,1.06237,153504.0,0.321956155
1962-12-14,1.065829,109824.0,0.340268806
1962-12-17,1.065829,71136.0,0.358073581
1962-12-18,1.048413,146016.0,0.328187877
1962-12-19,1.058864,283296.0,0.336833933
1962-12-20,1.058864,185952.0,0.358944316
1962-12-21,1.057122,93600.0,0.351228091
1962-12-24,1.057122,113568.0,0.369122256
1962-12-26,1.067571,132288.0,0.410624931
1962-12-27,1.072796,146016.0,0.407148822
1962-12-28,1.072796,137280.0,0.402078679
1962-12-31,1.069314,103584.0,0.399217205
1963-01-02,1.064088,152256.0,0.398990166
1963-01-03,1.071054,375648.0,0.398047746
1963-01-04,1.076279,293280.0,0.394761328
1963-01-07,1.069314,300768.0,0.426686392
1963-01-08,1.084988,419328.0,0.432331898
1963-01-09,1.086729,323232.0,0.413965566
1963-01-10,1.100662,413088.0,0.43068258
1963-01-11,1.09892,163488.0,0.42562724
1963-01-14,1.095436,185952.0,0.408047269
1963-01-15,1.095436,209664.0,0.390920198
1963-01-16,1.086729,249600.0,0.393535627
1963-01-17,1.090211,137280.0,0.388359996
1963-01-18,1.091953,87360.0,0.415246549
1963-01-21,1.093694,180960.0,0.415015451
